"","Form.ID","Billing.Year","Num.Units","Address","Dwelling.Type","Condo.Complex.Name"
"1","438","2011",8,"1409 SAWYER RD","Apartment Bldg",NA
"2","8984","2011",180,"5411 REUNION PT","Apartment Bldg",NA
"3","5322","2011",24,"611 PEYTON ST","Apartment Bldg",NA
"4","773","2011",10,"1721 POOLE RD","Apartment Bldg",NA
"5","5294","2011",9,"3021 MEDLIN DR","Apartment Bldg",NA
"6","3482","2011",318,"4801 FIVELEAF LA","Apartment Bldg",NA
"7","5014","2011",4,"4940 PEBBLE BEACH DR","Apartment Bldg",NA
"8","7671","2011",6,"1950 N RALEIGH BLVD","Apartment Bldg",NA
"9","5322","2011",16,"511  PEYTON ST","Apartment Bldg",NA
"10","7538","2011",4,"3708 LEXINGTON DR","Apartment Bldg",NA
"11","585","2011",8,"515 BASHFORD RD","Apartment Bldg",NA
"12","431","2011",50,"800 GIBNEY DR","Apartment Bldg",NA
"13","4716","2011",16,"1002 MILLS ST","Apartment Bldg",NA
"14","7271","2011",8,"564 DACIAN RD","Apartment Bldg",NA
"15","7400","2011",7,"3803 BURT DR","Apartment Bldg",NA
"16","6481","2011",53,"1527 CREST RD","Apartment Bldg",NA
"17","7661","2011",4,"4312 BAYLINER DR","Apartment Bldg",NA
"18","2505","2011",5,"900 GORMAN ST","Apartment Bldg",NA
"19","8983","2011",8,"3901 LEXINGTON DR","Apartment Bldg",NA
"20","8614","2011",8,"1448 SAWYER RD","Apartment Bldg",NA
"21","658","2011",7,"3005 LEONARD ST","Apartment Bldg",NA
"22","8878","2011",20,"1315 BAEZ ST","Apartment Bldg",NA
"23","8353","2011",7,"600 CANDOR LA","Apartment Bldg",NA
"24","2084","2011",254,"3939 GLENWOOD AV","Apartment Bldg",NA
"25","7743","2011",164,"2200 FOX RIDGE MANOR RD","Apartment Bldg",NA
"26","4424","2011",8,"1600 POOLE RD","Apartment Bldg",NA
"27","713","2011",12,"610 WOODBURN RD","Apartment Bldg",NA
"28","1118","2011",4,"1228 ANGELUS DR","Apartment Bldg",NA
"29","1568","2011",5,"4201 LAKE RIDGE DR","Apartment Bldg",NA
"30","4344","2011",8,"1315 FILMORE ST","Apartment Bldg",NA
"31","6482","2011",24,"2932 LIGON ST","Apartment Bldg",NA
"32","4728","2011",8,"10 ENTERPRISE ST","Apartment Bldg",NA
"33","3611","2011",4,"1244 ANGELUS DR","Apartment Bldg",NA
"34","4990","2011",10,"4032 ARCKELTON DR","Apartment Bldg",NA
"35","4424","2011",10,"909 E DAVIE ST","Apartment Bldg",NA
"36","5638","2011",12,"319 HECK ST","Apartment Bldg",NA
"37","2555","2011",11,"3802 LEXINGTON DR","Apartment Bldg",NA
"38","4890","2011",6,"5339 WAYNE ST","Apartment Bldg",NA
"39","6642","2011",48,"600 PETERSON ST","Apartment Bldg",NA
"40","1513","2011",199,"5000 WINDY HILL DR","Apartment Bldg",NA
"41","7743","2011",32,"1107 GARNER RD","Apartment Bldg",NA
"42","6741","2011",30,"1530 VARSITY DR","Apartment Bldg",NA
"43","7764","2011",11,"2200 GLASCOCK ST","Apartment Bldg",NA
"44","6175","2011",6,"201 DELWAY ST","Apartment Bldg",NA
"45","3777","2011",74,"2022 CARROLL DR","Apartment Bldg",NA
"46","2342","2011",100,"1610 AMBER RIDGE LA","Apartment Bldg",NA
"47","3821","2011",3,"3090 WOODS PL","Apartment Bldg",NA
"48","7192","2011",101,"6500 PACES ARBOR CIR","Apartment Bldg",NA
"49","3779","2011",5,"552-  E JONES ST","Apartment Bldg",NA
"50","10153","2011",4,"701 PEACH RD","Apartment Bldg",NA
"51","7271","2011",6,"1232 ANGELUS DR","Apartment Bldg",NA
"52","7671","2011",24,"511 E MARTIN ST","Apartment Bldg",NA
"53","10723","2011",8,"727 E LENOIR ST","Apartment Bldg",NA
"54","7096","2011",8,"130 COX AV","Apartment Bldg",NA
"55","6753","2011",220,"4657 MILL VILLAGE RD","Apartment Bldg",NA
"56","5939","2011",14,"3820 SHERMAN AV","Apartment Bldg",NA
"57","6642","2011",7,"3821 JACKSON ST","Apartment Bldg",NA
"58","1489","2011",4,"804 GORMAN ST","Apartment Bldg",NA
"59","624","2011",4,"16 ENTERPRISE ST","Apartment Bldg",NA
"60","7257","2011",117,"2121 PACES FOREST CT","Apartment Bldg",NA
"61","5904","2011",1,"3408-    GREEK WY","Apartment Bldg",NA
"62","4780","2011",88,"1209 KENT RD","Apartment Bldg",NA
"63","6532","2011",8,"16 MAIDEN LA","Apartment Bldg",NA
"64","487","2011",4,"4316 PRESLEY CT","Apartment Bldg",NA
"65","7559","2011",127,"5701 BARE BACK CT","Apartment Bldg",NA
"66","4336","2011",8,"18 HORNE ST","Apartment Bldg",NA
